TeamName,Player1,Player2,Player3,Player4,Player5,Player6,Player7,Player8,Player9,Player10,Player11
England 2025-26,Z Crawley,BM Duckett,JG Bethell,JE Root,HC Brook,BA Stokes,JL Smith,WG Jacks,JC Archer,BA Carse,JC Tongue
India 1947,MH Mankad,CT Sarwate,Gul Mohammad,VS Hazare,L Amarnath,DG Phadkar,HR Adhikari,K Rai Singh,KM Rangnekar,PK Sen,CS Nayudu
India 1956,NJ Contractor,P Roy,PR Umrigar,VL Manjrekar,MH Mankad,GS Ramchand,AG Kripal Singh,P Bhandari,NS Tamhane,Ghulam Ahmed,SP Gupte
India 1974,SM Gavaskar,ED Solkar,S Venkataraghavan,AL Wadekar,GR Viswanath,BP Patel,FM Engineer,S Madan Lal,S Abid Ali,BS Bedi,BS Chandrasekhar
India 1980-81,SM Gavaskar,CPS Chauhan,DB Vengsarkar,GR Viswanath,SM Patil,Yashpal Sharma,N Kapil Dev,SMH Kirmani,KD Ghavri,NS Yadav,DR Doshi
India 1986,SM Gavaskar,K Srikkanth,RJ Shastri,DB Vengsarkar,M Azharuddin,CS Pandit,N Kapil Dev,RMH Binny,S Madan Lal,KS More,Maninder Singh
India 1990,RJ Shastri,NS Sidhu,SV Manjrekar,DB Vengsarkar,M Azharuddin,SR Tendulkar,M Prabhakar,N Kapil Dev,KS More,A Kumble,ND Hirwani
India 1993,M Prabhakar,NS Sidhu,VG Kambli,SR Tendulkar,M Azharuddin,PK Amre,N Kapil Dev,KS More,A Kumble,RK Chauhan,J Srinath
India 1997-98,VVS Laxman,NS Sidhu,R Dravid,SR Tendulkar,M Azharuddin,SC Ganguly,NR Mongia,A Kumble,Harvinder Singh,SLV Raju,Harbhajan Singh
India 2002,SB Bangar,V Sehwag,R Dravid,SR Tendulkar,SC Ganguly,VVS Laxman,AB Agarkar,A Ratra,A Kumble,Harbhajan Singh,Z Khan
India 2006,W Jaffer,V Sehwag,R Dravid,SR Tendulkar,VVS Laxman,M Kaif,MS Dhoni,IK Pathan,A Kumble,Harbhajan Singh,S Sreesanth
India 2010,M Vijay,V Sehwag,R Dravid,SR Tendulkar,CA Pujara,SK Raina,MS Dhoni,Harbhajan Singh,Z Khan,PP Ojha,S Sreesanth
India 2015-16,M Vijay,S Dhawan,CA Pujara,V Kohli,AM Rahane,RG Sharma,WP Saha,RA Jadeja,R Ashwin,A Mishra,I Sharma
India 2020-21,RG Sharma,Shubman Gill,CA Pujara,V Kohli,AM Rahane,RR Pant,R Ashwin,AR Patel,I Sharma,Kuldeep Yadav,Mohammed Siraj
India 2025,YBK Jaiswal,KL Rahul,B Sai Sudharsan,Shubman Gill,KK Nair,RR Pant,RA Jadeja,SN Thakur,Washington Sundar,JJ Bumrah,Mohammed Siraj
Ireland 2018,EC Joyce,WTS Porterfield,A Balbirnie,NJ O'Brien,PR Stirling,KJ O'Brien,SR Thompson,TE Kane,GC Wilson,WB Rankin,TJ Murtagh
Ireland 2024-25,PJ Moor,A Balbirnie,C Campher,HT Tector,PR Stirling,LJ Tucker,AR McBrine,MR Adair,BJ McCarthy,CA Young,MJ Humphreys
New Zealand 1973-74,GM Turner,JM Parker,JFM Morrison,BE Congdon,BF Hastings,JV Coney,KJ Wadsworth,DR Hadlee,Sir RJ Hadlee,HJ Howarth,RO Collinge
New Zealand 1980-81,JG Wright,BA Edgar,GP Howarth,JM Parker,MG Burgess,JV Coney,JG Bracewell,WK Lees,Sir RJ Hadlee,BL Cairns,GB Troup
New Zealand 1984,JG Wright,BA Edgar,GP Howarth,JJ Crowe,MD Crowe,JV Coney,Sir RJ Hadlee,IDS Smith,BL Cairns,SL Boock,EJ Chatfield
New Zealand 1989-90,TJ Franklin,JG Wright,AH Jones,MD Crowe,MJ Greatbatch,KR Rutherford,JG Bracewell,IDS Smith,Sir RJ Hadlee,MC Snedden,DK Morrison
New Zealand 1995-96,BA Pocock,BA Young,MJ Horne,SP Fleming,NJ Astle,CL Cairns,AC Parore,DN Patel,DL Vettori,SB Doull,HT Davis
New Zealand 2001-02,MH Richardson,L Vincent,MS Sinclair,SP Fleming,NJ Astle,CD McMillan,DL Vettori,CL Cairns,AC Parore,SE Bond,CS Martin
New Zealand 2005-06,HJH Marshall,JM How,PG Fulton,SP Fleming,NJ Astle,SB Styris,BB McCullum,DL Vettori,JEC Franklin,SE Bond,CS Martin
New Zealand 2010-11,TG McIntosh,BB McCullum,BJ Watling,LRPL Taylor,JD Ryder,KS Williamson,DL Vettori,GJ Hopkins,JS Patel,TG Southee,CS Martin
New Zealand 2015-16,MJ Guptill,TWM Latham,KS Williamson,LRPL Taylor,BB McCullum,MJ Santner,BJ Watling,DAJ Bracewell,TG Southee,N Wagner,TA Boult
New Zealand 2021-22,TWM Latham,WA Young,DP Conway,HM Nicholls,DJ Mitchell,TA Blundell,C de Grandhomme,KA Jamieson,TG Southee,N Wagner,MJ Henry
New Zealand 2025-26,TWM Latham,DP Conway,KS Williamson,R Ravindra,DJ Mitchell,TA Blundell,MG Bracewell,GD Phillips,ZG Foulkes,AY Patel,JA Duffy
Pakistan 1959-60,Hanif Mohammad,Imtiaz Ahmed,Saeed Ahmed,DA Sharpe,W Mathias,Ijaz Butt,Israr Ali,Shujauddin,Fazal Mahmood,Mohammad Munaf,Nasim-ul-Ghani
Pakistan 1964-65,Mohammad Ilyas,Naushad Ali,Saeed Ahmed,Javed Burki,Asif Iqbal,Hanif Mohammad,Majid Khan,Salahuddin,Intikhab Alam,Pervez Sajjad,Mohammad Farooq
Pakistan 1974,Sadiq Mohammad,Majid Khan,Zaheer Abbas,Mushtaq Mohammad,Asif Iqbal,Wasim Raja,Imran Khan,Intikhab Alam,Sarfraz Nawaz,Wasim Bari,Asif Masood
Pakistan 1978-79,Majid Khan,Mohsin Khan,Zaheer Abbas,Javed Miandad,Asif Iqbal,Mushtaq Mohammad,Wasim Raja,Imran Khan,Sarfraz Nawaz,Wasim Bari,Sikander Bakht
Pakistan 1983,Mohsin Khan,Mudassar Nazar,Mansoor Akhtar,Javed Miandad,Zaheer Abbas,Haroon Rasheed,Imran Khan,Tahir Naqqash,Wasim Bari,Abdul Qadir,Jalal-ud-Din
Pakistan 1988-89,Mudassar Nazar,Ramiz Raja,Shoaib Mohammad,Javed Miandad,Tauseef Ahmed,Saleem Malik,Ijaz Ahmed,Aamer Malik,Saleem Yousuf,Abdul Qadir,Iqbal Qasim
Pakistan 1994-95,Saeed Anwar,Aamer Sohail,Zahid Fazal,Saleem Malik,Basit Ali,Inzamam-ul-Haq,Rashid Latif,Wasim Akram,Akram Raza,Waqar Younis,Mushtaq Ahmed
Pakistan 2000,Saeed Anwar,Mohammad Wasim,Younis Khan,Mohammad Yousuf,Moin Khan,Inzamam-ul-Haq,Abdul Razzaq,Wasim Akram,Waqar Younis,Mushtaq Ahmed,Arshad Khan
Pakistan 2005-06,Shoaib Malik,Salman Butt,Younis Khan,Mohammad Yousuf,Inzamam-ul-Haq,Hasan Raza,Kamran Akmal,Mohammad Sami,Shoaib Akhtar,Shabbir Ahmed,Danish Kaneria
Pakistan 2011-12,Mohammad Hafeez,Taufeeq Umar,Azhar Ali,Younis Khan,Misbah-ul-Haq,Asad Shafiq,Adnan Akmal,Abdur Rehman,Saeed Ajmal,Umar Gul,Junaid Khan
Pakistan 2016-17,Sami Aslam,Azhar Ali,Asad Shafiq,Younis Khan,Misbah-ul-Haq,Sarfaraz Ahmed,Mohammad Nawaz (3),Wahab Riaz,Yasir Shah,Mohammad Amir,Sohail Khan
Pakistan 2020,Shan Masood,Abid Ali,Azhar Ali,Babar Azam,Asad Shafiq,Fawad Alam,Mohammad Rizwan,Yasir Shah,Shaheen Shah Afridi,Mohammad Abbas,Naseem Shah
Pakistan 2025-26,Abdullah Shafique,Imam-ul-Haq,Shan Masood,Babar Azam,Saud Shakeel,Mohammad Rizwan,Salman Agha,Noman Ali,Shaheen Shah Afridi,Sajid Khan,Hasan Ali
South Africa 1910-11,PW Sherwell,JW Zulch,GA Faulkner,AD Nourse,CMH Hathorn,CB Llewellyn,SJ Snooke,JH Sinclair,RO Schwarz,SJ Pegler,LA Stricker
South Africa 1952-53,WR Endean,JHB Waite,JC Watkins,KJ Funston,HJ Keith,RA McLean,JE Cheetham,PNF Mansell,ARA Murray,HJ Tayfield,ERH Fuller
